必胜的罗什福尔;光明剑士里昂;四天王夏洛特;感官觉醒的塞奥;气球爆炸弗莱克;
狂暴的机器人丹普西;王室亲卫队长罗尔夫;冥府的追击者哈迪斯;四大天王杰克;内心争斗的阿瑞斯;
藩候雷迪斯;叛徒骑士摩根;狮子团团长 格温;渴求 涅菲尔;乐极生悲 沈鹤圭;
蛇之女王 艾基德娜;蚕食灵魂的颇尔垃加;女侠客 泉奈;引领者 伊西丝;火之魔女莎莎;
鬼王钟奎;暴走僵尸希恩;森林魔女娅莉塔;约定之维多利亚;民族英雄郑成功;
异能者伊莎贝尔;捕盗大将卞剑秀;狩魔猎人亚伯;绝对魔王薇薇安;魅惑的魔法少女阿斯摩太;
噬星者毕奥;五虎大将军子龙;蕊儿;魔女南瓜女王;海之骄子玛蕾;
上古原始 拉诺;蕾德那斯;决战的特薇儿莉;圣域守护者 罗斯科娃;恐怖的 兰蒂格瑞丝;
屠杀者 哈尔菲亚;冥帝·博格斯;黑骑士莱昂内尔;族长乌兹门特;二天一流香织;
蒙泰终极型;将军须佐能乎;钢铁骑士圣女贞德;蕾文·布兰温;扎特-1;
乔凡娜;泰里翁;欧尔贝克·艾因斯伯格;波基郎;爆丸;
拉芙塔莉雅;枪使;哥布林杀手;库珥修·卡尔斯腾;梅喧;
达娜·伊克露西亚;拉克夏·冯·罗斯威尔;亚特鲁·克里斯汀;布蕾克·贝拉多娜;魏丝·雪倪;
炎之宿命克里斯;欧米茄·卢卡尔;八神庵;草薙京;米莉亚·蕾姬;
乔尼;凯·奇斯库;索尔·巴德凯;战斗机器人 特-6;战斗机器人 特-5;
战斗机器人 特-4;战斗机器人 特-3;雪人;月野 红;飞翼骑士;
南方警备队员;修道院守护者;绝地武士;勇犬剑士;扭蛋战队阿尔;
报丧女妖;剑道社员;狼族卫士;巴伦西亚骑士;黄道军阿莉耶丝;
蓝骑士·大卫;蓝骑士里尼亚;鼠人爱好者;沙漠战士克耶瓦;上古雪人;
克隆班长;半月黑熊;菜月昴;最初的帕拉丁罗兰;约束者克里姆希尔特;元气满满一晚上的妮可;话题制造者伍兹美;四天王奥兹玛;
天下第一风流人物纳索吉;圣域的守护灵斯诺里;隐居大佬奥蒂斯;魔界守护者露西;异徒审判官塞西莉亚;
冠军 狮子假面;拳王 西门;焚烧者 派尔艾丝;暴风 奥丁;英勇的 凯涅厄斯;
耀眼新星 尤娜;五虎大将军 孟起;铁女 修尔拉;节制的芬里尔;冰锤 沃尔夫冈;
末世杜尔拉汗;龙骑士齐格弗里德;意志坚定的赫克托尔;威-暴走型;大莫离支文德;
圣魔该隐;黑暗骑士贝恩;返老还童娜丽;极致黑暗欧姆拉特;愤怒的南瓜之王;
不败将军秦琼;风华绝代织女;圣域守护者 海姆;料理武术家 雷玲;扭蛋游击队·鲁格斯;
战场上的圣女雅典娜;粉碎者斯黛拉;白胡子德雷克;战神阿基里斯;皇帝亚历山大;
雷神托尔;浮士德;亚芬·格林格拉斯;达特;毛姆;
乌里;卡奥;豪尔斯;菲洛;岩谷尚文;
剑之圣女;雷姆;莉柯妲·贝尔戴因;萨哈德·诺德拉斯;皮拉·尼可丝;
阳小龙;特瑞·博加德;金;比利·凯恩;辛·奇斯库;
梅伊;熊叔;普格斯;塔普娘;罗曼士兵;
皇家亲卫队;海军大将;贝尔·格里尔斯;扭蛋战队凯;安德烈;
恶魔同好会;皇家稽查队;冰川矿工;记者;黄道军韬;
女神教守护骑士;蓝骑士尤格林;树人;不死的实验体;雪山攀岩家;
夜间警卫;看守;红莲之弓矢德姆娜;屠魔猎手溪谷莉娜;光阴似箭的忒希斯;神圣唐小慧;贯通正义诺丁汉;
紫色的传令 艾丽丝;脉冲之箭米尔;熊熊烈火麦莱亚戈;副团长 奥雷亚;夜乌鸦 澜;
复仇之牙 马尔卡;水之神女 海琅;独狼 琳赛;蜘蛛女皇 阿拉克尼;魔弓手 热纳维耶;
收割者 塞特;荣誉者凯伦;月姬 辉夜姬;鹰之女儿拉喜玛;首席舞蹈家 李;
月光追击者阿塔兰特;浪漫的麦格尼斯;倾国倾城春香;百发百中小光;驯龙高手·坤;
遮阳者杜拉;三文鱼猎手蓓拉;妖精骑士 阿尔玛尔;火焰之迎春;爱如潮涌的牛郎;
伟大的父亲 潘潘;五虎大将军 汉升;幽灵公主·贝欧琳;黑曼巴;寒霜恶灵妮芬;
月圆奇波郎;阿尔-零号机;密使罗宾汉;疾风半藏;馨德·芙;
海茵特;普丽姆萝洁·艾泽尔哈特;帕兰;妖精弓手;不知火舞;
奇普·萨那弗;绿色妖精;小韩;狐狸射手;机械少女;
小丑;丝绒射手;动物同好会;扭蛋战队外;极地猎人;
弓道社员;寒冰射手;涅斯革命军的弓手;黄道军比尔高;圣都巡礼者;
蓝骑士艾米莉亚;爆炎忍者团;主人尼布甲尼撒;英灵战士弓兵;涅斯预备军;
宫庭舞女;夜魔女麻美;视死如归达达尼昂;完美形态的 安妮;猫猫乐园的阿尼玛;XO CREW泰斯;
火山的声音 卢卡;追击队长 斯维尼亚;金属巴赫湛离;追击者雅拉蜜丝;扭蛋战队 思博尔;
年糕娘 末淑;优雅 辛迪;白衣女 柳德米拉;闪光 卡洛尔;财迷 杰特;
特工 扎哈德;美食家 阿索斯;百万富翁桃太郎;冰霜猎人 雷芬;战姬02-蕾拉;
战姬03-梅尔;战姬01-妮欧;探究者罗蕾莱;名侦探夏洛克;武装女仆迪雅;
赤色弹丸孙市;黑暗驱逐者威廉;女英雄明蒂;噬魂射手九妹;最强佣兵斯内克;
踏空者希尔德;电子熊贝伦;深渊拉希蕾;仙女皇后 戴莉安;企鹅女皇 奥尔佳;
龙猎人 柏勒洛丰;双面人 鲁伊希尔拉;海军上将·斯嘉丽;电子人斯佩妮;哨兵阿尔;
